Directory,contigs >= 1000 bp,Largest contig,N50,GC (%),Total length
AZ0-A1,85021.0,536948.0,558.0,62.0,685160898.0
AZ0-A2,60482.0,1721870.0,1167.0,57.0,520800046.0
AZ0-A4,70548.0,466524.0,492.0,65.0,586393515.0
AZ0-A5,144749.0,1630781.0,503.0,55.0,1314774494.0
AZ1-A4,75860.0,345792.0,494.0,65.0,629798443.0
B2023-D1,92158.0,149242.0,313.0,49.15,1188378298.0
B2023-D10,158329.0,314208.0,309.0,54.89,2645414090.0
B2023-D11,138798.0,405765.0,325.0,52.12,1912231670.0
B2023-D12,156924.0,299788.0,331.0,52.62,2185953430.0
B2023-D13,157002.0,317734.0,355.0,50.85,1931910149.0
B2023-D14,152954.0,297730.0,332.0,50.77,2060802789.0
B2023-D15,130975.0,332766.0,356.0,47.99,1604231842.0
B2023-D16,149711.0,300533.0,365.0,47.64,1648271745.0
B2023-D17,113385.0,213792.0,318.0,49.97,1658520718.0
B2023-D18,86365.0,273246.0,303.0,47.75,1299030865.0
B2023-D19,130096.0,476839.0,305.0,55.63,2077064284.0
B2023-D2,183166.0,325454.0,330.0,48.38,2408788661.0
B2023-D20,127585.0,360929.0,371.0,46.77,1393430144.0
B2023-D21,128245.0,345038.0,352.0,47.4,1559085411.0
B2023-D22,137959.0,461822.0,377.0,45.22,1526973964.0
B2023-D23,120282.0,438542.0,370.0,45.62,1350223535.0
B2023-D24,171216.0,556780.0,442.0,45.15,1558407242.0
B2023-D3,151622.0,358142.0,308.0,52.09,2273456048.0
B2023-D4,162861.0,262084.0,325.0,54.87,2300288186.0
B2023-D5,159703.0,248059.0,308.0,54.0,2607636776.0
B2023-D6,147938.0,376605.0,320.0,54.81,2282096016.0
B2023-D7,187439.0,249394.0,336.0,52.47,2578666655.0
B2023-D8,196977.0,473391.0,333.0,55.62,2854727195.0
B2023-S1,120203.0,783381.0,346.0,48.22,1409086073.0
B2023-S10,117365.0,255960.0,339.0,48.11,1441552645.0
B2023-S11,84205.0,306788.0,328.0,46.63,1097856543.0
B2023-S12,87541.0,274570.0,327.0,47.63,1107507755.0
B2023-S13,75968.0,239520.0,342.0,47.02,834931202.0
B2023-S14,83806.0,277602.0,335.0,47.0,1004527027.0
