Directory,Number of Reads,Quality Score Avg,Total Base Pairs
AZ0-A1,146530865,36.41820972498997,21979629750
AZ0-A2,141113293,36.411425765390774,21166993950
AZ0-A4,134870232,36.42461519333757,20230534800
AZ0-A5,167481810,36.41564747168046,25122271500
AZ1-A4,145023133,36.447920234794424,21753469950
B2023-D1,106694167,36.573567206701185,16004125050
B2023-D10,122088065,36.519446473544846,18313209750
B2023-D11,100845412,36.50137754881259,15126811800
B2023-D12,109725182,36.469787905931014,16458777300
B2023-D13,120585531,36.50878078781902,18087829650
B2023-D14,116907819,36.50480768051362,17536172850
B2023-D15,109885322,36.48523409069728,16482798300
B2023-D16,107414497,36.49505985456609,16112174550
B2023-D17,113987369,36.48213902800536,17098105350
B2023-D18,103352789,36.455592718253,15502918350
B2023-D19,114900192,36.5130452639932,17235028800
B2023-D2,129609831,36.485452912744336,19441474650
B2023-D20,122678466,36.47728164917505,18401769900
B2023-D21,107465528,36.483804426767826,16119829200
B2023-D22,112447287,36.4837795042958,16867093050
B2023-D23,102434295,36.471110586111294,15365144250
B2023-D24,126059801,36.43300974836883,18908970150
B2023-D3,117680205,36.49840432482117,17652030750
B2023-D4,126093039,36.515429133454404,18913955850
B2023-D5,140949874,36.50684847782003,21142481100
B2023-D6,105745368,36.4832783660524,15861805200
B2023-D7,121766970,36.478141168759535,18265045500
B2023-D8,118783798,36.4998551123254,17817569700
B2023-S1,101269833,36.48615664169261,15190474950
B2023-S10,97923391,36.48946003732404,14688508650
B2023-S11,104778767,36.48860822475369,15716815050
B2023-S12,110939202,36.44212579790471,16640880300
B2023-S13,83800346,36.474079886684045,12570051900
B2023-S14,101354967,36.43201619578819,15203245050
B2023-S15,121677638,36.44525540826211,18251645700
B2023-S16,120476365,36.42648555465578,18071454750
B2023-S17,114404690,36.44569459534382,17160703500
B2023-S18,114490351,36.45920393830721,17173552650
B2023-S19,127089096,36.45269799221237,19063364400
B2023-S2,101607537,36.510920543037486,15241130550
B2023-S20,114157499,36.424184882910396,17123624850
B2023-S21,117416469,36.452318958986524,17612470350
B2023-S3,111066699,36.499898853396516,16660004850
B2023-S4,106348434,36.48904665543124,15952265100
B2023-S5,105794513,36.48965383216075,15869176950
B2023-S7,115916049,36.50309625687413,17387407350
B2023-S8,118298655,36.511382006930695,17744798250
B2023-S9,107700601,36.505916583631176,16155090150
DO_HAR1,69597801,36.32591607268081,10439670150
DO_HAR1-Hyb,0,,0
DO_IMP1,53737018,36.27504980037146,8060552700
DO_IMP1-Hyb,0,,0
MGNIFY-TEST-LATEST,43005,36.6110670398029,6450750
PZMX_23_D1_nano,0,,0
PZMX_23_tar_A1,103528872,36.51986989209565,15529330800
PZMX_23_tar_A2,140059666,36.531797551389545,21008949900
PZMX_23_tar_A3,106187357,36.54250025750865,15928103550
PZMX_23_tar_A4,116046283,36.518782020721204,17406942450
PZMX_23_tar_A4.bak,0,,0
PZMX_23_tar_A5,112149877,36.43626542244307,16822481550
PZMX_23_tar_A6,117369011,36.36205364403027,17605351650
PZMX_23_tar_A7,118815271,36.38830833920413,17822290650
PZMX-CompostNLS2,22680827,35.87416631989857,3402124050
PZMX-D1,106212520,36.41286055610106,15931878000
PZMX-D10,104110685,36.395115734047984,15616602750
PZMX-D11,119807796,36.415073111890436,17971169400
PZMX-D12,124195582,36.42189258381788,18629337300
PZMX-D13,116145224,36.418205084495085,17421783600
PZMX-D14,131695628,36.42461742078819,19754344200
PZMX-D17,138723822,36.42729624973768,20808573300
PZMX-D18,104026702,36.40349445668915,15604005300
PZMX-D19,101291505,36.38883147738341,15193725750
PZMX-D2,113054348,36.47437218126626,16958152200
PZMX-D20,102945098,36.40253445501024,15441764700
PZMX-D21,104107869,36.4375269873196,15616180350
PZMX-D22,120177935,36.455749600425634,18026690250
PZMX-D23,116772280,36.469795959810384,17515842000
PZMX-D25,116876585,36.43015969831167,17531487750
PZMX-D27,109805743,36.3935267102099,16470861450
PZMX-D29,107150140,36.38075308400056,16072521000
PZMX-D3,127394825,36.477691381047755,19109223750
PZMX-D32,126998509,36.46323437148743,19049776350
PZMX-D33,125285384,36.46424990502048,18792807600
PZMX-D5,104747005,36.42579963485281,15712050750
PZMX-D6,110772515,36.456965458434816,16615877250
PZMX-D7,124971114,36.447453965666355,18745667100
PZMX-D8,113460984,36.45084662609528,17019147600
PZMX-D9,103981440,36.425286829015086,15597216000
PZMX-PG1,85039700,36.5343099900407,12755955000
